1.99993,1.98953,1.98955,1.98959,1.98963,1.98967,1.98971,1.98975,1.98979,1.98983,1.98987,1.9899,1.98994,1.98997,1.99,1.99003,1.99007,1.99009,1.99012,1.99015,1.99018,1.9902,1.99022,1.99025,1.99027,1.99029,1.9903,1.99032,1.99034,1.99035,1.99037,1.99038,1.99039,1.9904,1.99041,1.99042,1.99042,1.99043,1.99043,1.99044,1.99044,1.99044,1.99044,1.99044,1.99043,1.99043,1.99042,1.99042,1.99041,1.9904,1.99039,1.99038,1.99037,1.99035,1.99034,1.99032,1.9903,1.99028,1.99026,1.99024,1.99022,1.9902,1.99017,1.99015,1.99012,1.99009,1.99006,1.99003,1.99,1.98996,1.98992,1.98989,1.98984,1.9898,1.98974,1.98968,1.98958,1.98939,1.98886,1.99417,1.99994,
0.0178011,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00294068,0.00461441,0.00585928,0.00691109,0.00784784,0.00870676,0.00950894,0.0102677,0.010992,0.0116883,0.0123612,0.0130145,0.0136509,0.0142728,0.0148819,0.0154799,0.016068,0.0166474,0.0172189,0.0177836,0.018342,0.0188949,0.0194429,0.0199866,0.0205265,0.0210631,0.0215968,0.0221282,0.0226576,0.0231856,0.0237125,0.0242388,0.024765,0.0252914,0.0258187,0.0263468,0.0269259,0.0233649,0.0169599,
0.0176551,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00293227,0.0046213,0.0058739,0.00693087,0.00787138,0.00873309,0.00953736,0.0102976,0.0110229,0.0117198,0.0123929,0.013046,0.0136818,0.0143028,0.0149107,0.0155072,0.0160935,0.0166707,0.0172399,0.0178019,0.0183574,0.0189071,0.0194517,0.0199918,0.0205279,0.0210604,0.02159,0.0221171,0.0226421,0.0231655,0.0236879,0.0242096,0.0247311,0.0252529,0.0257755,0.026299,0.026874,0.0232838,0.016811,
0.0175063,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00292292,0.00462757,0.00588799,0.00695016,0.00789444,0.00875898,0.00956536,0.0103271,0.0110535,0.0117508,0.0124241,0.013077,0.0137123,0.0143323,0.014939,0.0155339,0.0161183,0.0166933,0.01726,0.0178192,0.0183717,0.0189182,0.0194592,0.0199955,0.0205276,0.0210559,0.0215811,0.0221036,0.022624,0.0231426,0.0236601,0.0241768,0.0246933,0.0252101,0.0257277,0.0262462,0.0268167,0.0231986,0.0166599,
0.0173546,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00291275,0.00463335,0.00590168,0.00696911,0.00791722,0.00878462,0.00959312,0.0103564,0.0110838,0.0117817,0.0124552,0.0131078,0.0137425,0.0143616,0.014967,0.0155602,0.0161427,0.0167155,0.0172796,0.0178359,0.0183853,0.0189283,0.0194656,0.019998,0.0205258,0.0210498,0.0215703,0.0220881,0.0226034,0.023117,0.0236292,0.0241406,0.0246518,0.0251632,0.0256753,0.0261884,0.0267538,0.0231095,0.0165069,
0.0172,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00290188,0.00463877,0.00591513,0.0069879,0.00793989,0.00881019,0.00962086,0.0103857,0.0111141,0.0118127,0.0124863,0.0131387,0.0137728,0.0143909,0.0149949,0.0155865,0.016167,0.0167374,0.0172989,0.0178523,0.0183983,0.0189377,0.0194712,0.0199994,0.0205229,0.0210422,0.0215579,0.0220705,0.0225806,0.0230887,0.0235954,0.0241011,0.0246065,0.025112,0.0256183,0.0261255,0.0266855,0.0230162,0.0163517,
0.0170425,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00289044,0.00464398,0.0059285,0.00700669,0.00796263,0.0088359,0.00964879,0.0104153,0.0111448,0.0118439,0.0125177,0.0131699,0.0138034,0.0144205,0.0150232,0.0156131,0.0161915,0.0167595,0.0173182,0.0178685,0.0184111,0.0189468,0.0194763,0.0200001,0.0205189,0.0210333,0.0215439,0.0220511,0.0225556,0.023058,0.0235587,0.0240583,0.0245575,0.0250567,0.0255567,0.0260575,0.0266115,0.0229188,0.0161945,
0.0168819,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00287858,0.00464913,0.00594196,0.00702568,0.00798565,0.00886196,0.00967714,0.0104453,0.0111759,0.0118758,0.0125498,0.0132017,0.0138346,0.0144507,0.0150521,0.0156402,0.0162165,0.0167821,0.0173379,0.017885,0.0184241,0.0189559,0.0194811,0.0200004,0.0205143,0.0210236,0.0215287,0.0220302,0.0225288,0.0230249,0.0235193,0.0240124,0.0245049,0.0249974,0.0254905,0.0259844,0.0265319,0.0228172,0.0160353,
0.0167183,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00286644,0.00465439,0.00595568,0.00704504,0.00800915,0.00888859,0.00970614,0.010476,0.0112079,0.0119084,0.0125827,0.0132345,0.0138668,0.0144819,0.0150819,0.0156683,0.0162424,0.0168054,0.0173583,0.0179021,0.0184375,0.0189652,0.0194861,0.0200006,0.0205094,0.0210132,0.0215126,0.0220081,0.0225003,0.0229899,0.0234774,0.0239635,0.0244489,0.0249341,0.0254198,0.0259062,0.0264466,0.0227114,0.0158742,
0.0165517,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00285419,0.00465992,0.00596984,0.00706499,0.00803335,0.00891603,0.00973605,0.0105078,0.0112409,0.0119422,0.0126168,0.0132685,0.0139003,0.0145144,0.015113,0.0156976,0.0162695,0.0168299,0.0173799,0.0179202,0.0184518,0.0189753,0.0194916,0.0200011,0.0205046,0.0210026,0.0214959,0.021985,0.0224705,0.022953,0.0234333,0.0239119,0.0243896,0.0248669,0.0253446,0.025823,0.0263557,0.0226014,0.0157111,
0.0163821,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.002842,0.00466589,0.00598464,0.00708572,0.00805848,0.00894452,0.00976711,0.0105408,0.0112753,0.0119775,0.0126525,0.0133041,0.0139354,0.0145486,0.0151458,0.0157286,0.0162983,0.0168561,0.0174029,0.0179398,0.0184674,0.0189866,0.019498,0.0200023,0.0205001,0.0209922,0.021479,0.0219613,0.0224396,0.0229147,0.0233872,0.0238578,0.0243272,0.0247961,0.0252652,0.0257349,0.0262591,0.0224871,0.0155462,
